geometry,count
"POLYGON ((-78.66548899999999 52.77380351999997, -77.55849671333333 52.77380351999997, -77.55849671333333 55.17302267999997, -78.66548899999999 55.17302267999997, -78.66548899999999 52.77380351999997))",0
"POLYGON ((-78.66548899999999 55.17302267999997, -77.55849671333333 55.17302267999997, -77.55849671333333 57.57224183999998, -78.66548899999999 57.57224183999998, -78.66548899999999 55.17302267999997))",0
"POLYGON ((-78.66548899999999 57.57224183999998, -77.55849671333333 57.57224183999998, -77.55849671333333 59.97146099999998, -78.66548899999999 59.97146099999998, -78.66548899999999 57.57224183999998))",0
"POLYGON ((-78.66548899999999 59.97146099999998, -77.55849671333333 59.97146099999998, -77.55849671333333 62.37068015999998, -78.66548899999999 62.37068015999998, -78.66548899999999 59.97146099999998))",0
"POLYGON ((-78.66548899999999 62.37068015999998, -77.55849671333333 62.37068015999998, -77.55849671333333 64.76989931999998, -78.66548899999999 64.76989931999998, -78.66548899999999 62.37068015999998))",0
"POLYGON ((-78.66548899999999 64.76989931999998, -77.55849671333333 64.76989931999998, -77.55849671333333 67.16911847999998, -78.66548899999999 67.16911847999998, -78.66548899999999 64.76989931999998))",0
"POLYGON ((-78.66548899999999 67.16911847999998, -77.55849671333333 67.16911847999998, -77.55849671333333 69.56833763999998, -78.66548899999999 69.56833763999998, -78.66548899999999 67.16911847999998))",0
"POLYGON ((-78.66548899999999 69.56833763999998, -77.55849671333333 69.56833763999998, -77.55849671333333 71.96755679999998, -78.66548899999999 71.96755679999998, -78.66548899999999 69.56833763999998))",0
"POLYGON ((-78.66548899999999 71.96755679999998, -77.55849671333333 71.96755679999998, -77.55849671333333 74.36677595999998, -78.66548899999999 74.36677595999998, -78.66548899999999 71.96755679999998))",0
"POLYGON ((-78.66548899999999 74.36677595999998, -77.55849671333333 74.36677595999998, -77.55849671333333 76.76599511999999, -78.66548899999999 76.76599511999999, -78.66548899999999 74.36677595999998))",0
"POLYGON ((-78.66548899999999 76.76599511999999, -77.55849671333333 76.76599511999999, -77.55849671333333 79.16521427999996, -78.66548899999999 79.16521427999996, -78.66548899999999 76.76599511999999))",0
"POLYGON ((-78.66548899999999 79.16521427999996, -77.55849671333333 79.16521427999996, -77.55849671333333 81.56443343999999, -78.66548899999999 81.56443343999999, -78.66548899999999 79.16521427999996))",0
"POLYGON ((-78.66548899999999 81.56443343999999, -77.55849671333333 81.56443343999999, -77.55849671333333 83.96365259999996, -78.66548899999999 83.96365259999996, -78.66548899999999 81.56443343999999))",0
"POLYGON ((-78.66548899999999 83.96365259999996, -77.55849671333333 83.96365259999996, -77.55849671333333 86.36287175999999, -78.66548899999999 86.36287175999999, -78.66548899999999 83.96365259999996))",0
"POLYGON ((-78.66548899999999 86.36287175999999, -77.55849671333333 86.36287175999999, -77.55849671333333 88.76209091999996, -78.66548899999999 88.76209091999996, -78.66548899999999 86.36287175999999))",0
"POLYGON ((-78.66548899999999 88.76209091999996, -77.55849671333333 88.76209091999996, -77.55849671333333 91.16131007999999, -78.66548899999999 91.16131007999999, -78.66548899999999 88.76209091999996))",0
"POLYGON ((-78.66548899999999 91.16131007999999, -77.55849671333333 91.16131007999999, -77.55849671333333 93.56052923999997, -78.66548899999999 93.56052923999997, -78.66548899999999 91.16131007999999))",0
"POLYGON ((-78.66548899999999 93.56052923999997, -77.55849671333333 93.56052923999997, -77.55849671333333 95.9597484, -78.66548899999999 95.9597484, -78.66548899999999 93.56052923999997))",0
"POLYGON ((-78.66548899999999 95.9597484, -77.55849671333333 95.9597484, -77.55849671333333 98.35896755999997, -78.66548899999999 98.35896755999997, -78.66548899999999 95.9597484))",0
"POLYGON ((-78.66548899999999 98.35896755999997, -77.55849671333333 98.35896755999997, -77.55849671333333 100.75818672, -78.66548899999999 100.75818672, -78.66548899999999 98.35896755999997))",0
"POLYGON ((-78.66548899999999 100.75818672, -77.55849671333333 100.75818672, -77.55849671333333 103.15740588, -78.66548899999999 103.15740588, -78.66548899999999 100.75818672))",0
"POLYGON ((-78.66548899999999 103.15740588, -77.55849671333333 103.15740588, -77.55849671333333 105.55662504, -78.66548899999999 105.55662504, -78.66548899999999 103.15740588))",0
"POLYGON ((-78.66548899999999 105.55662504, -77.55849671333333 105.55662504, -77.55849671333333 107.9558442, -78.66548899999999 107.9558442, -78.66548899999999 105.55662504))",0
"POLYGON ((-78.66548899999999 107.9558442, -77.55849671333333 107.9558442, -77.55849671333333 110.35506336, -78.66548899999999 110.35506336, -78.66548899999999 107.9558442))",0
"POLYGON ((-78.66548899999999 110.35506336, -77.55849671333333 110.35506336, -77.55849671333333 112.75428252, -78.66548899999999 112.75428252, -78.66548899999999 110.35506336))",0
"POLYGON ((-78.66548899999999 112.75428252, -77.55849671333333 112.75428252, -77.55849671333333 115.15350168, -78.66548899999999 115.15350168, -78.66548899999999 112.75428252))",0
"POLYGON ((-78.66548899999999 115.15350168, -77.55849671333333 115.15350168, -77.55849671333333 117.55272084, -78.66548899999999 117.55272084, -78.66548899999999 115.15350168))",0
"POLYGON ((-78.66548899999999 117.55272084, -77.55849671333333 117.55272084, -77.55849671333333 119.95194, -78.66548899999999 119.95194, -78.66548899999999 117.55272084))",0
"POLYGON ((-78.66548899999999 119.95194, -77.55849671333333 119.95194, -77.55849671333333 122.35115916, -78.66548899999999 122.35115916, -78.66548899999999 119.95194))",0
